Model,Notino,Technomarket,Zora,Technopolis,Emag
MB3000,0.0,0.0,0.0,49.99,0.0
SP-BB2,0.0,0.0,0.0,16.9,0.0
AC8605,0.0,0.0,0.0,99.99,0.0
AC6330,0.0,0.0,0.0,79.9,0.0
AC7200,0.0,0.0,0.0,89.99,0.0
MB320C,0.0,0.0,0.0,79.99,0.0
PG9100,0.0,0.0,0.0,154.99,0.0
XR1500,0.0,0.0,0.0,159.99,0.0
PG6030,0.0,0.0,0.0,62.9,78.65
HC9100,0.0,0.0,0.0,118.99,0.0
HC4000,0.0,0.0,0.0,88.9,0.0
AS404,0.0,0.0,0.0,0.0,27.96
S1005,0.0,0.0,0.0,0.0,29.0
D3190,0.0,0.0,0.0,0.0,39.99
D5210,0.0,0.0,0.0,0.0,44.46
FC250,0.0,0.0,0.0,0.0,46.62
D5215,0.0,0.0,0.0,0.0,49.0
D5017,0.0,0.0,0.0,0.0,59.0
S7710,0.0,0.0,0.0,0.0,60.0
AS7051,0.0,0.0,0.0,0.0,67.2
H5670,0.0,0.0,0.0,0.0,70.32
BHT250,0.0,0.0,0.0,0.0,71.6
CI9532,0.0,0.0,0.0,0.0,73.99
AS1220,0.0,0.0,0.0,0.0,77.99
H9100,0.0,0.0,0.0,0.0,85.8
CB7480,0.0,0.0,0.0,0.0,89.52
CI91AW,0.0,0.0,0.0,0.0,96.0
H5600,0.0,0.0,0.0,0.0,111.78
HC5810,0.0,0.0,0.0,0.0,119.0
